"nflId","displayName","position","avg_goe","std_goe","avg_error","n_plays"
46118,"Dallas Goedert","TE",0.0158413032126273,0.168926009493445,0.142626908781044,185
53576,"Brevin Jordan","TE",0.0158239679727885,0.184590269251685,0.161179210409857,74
53514,"Amari Rodgers","WR",0.0157192985526346,0.149706466601134,0.122625865467138,50
52425,"CeeDee Lamb","WR",0.0151540808696116,0.162510256659265,0.130625190594157,217
39973,"DeAndre Hopkins","WR",0.015031700574481,0.144734857666085,0.112851706410262,94
44927,"Samaje Perine","RB",0.014655671103919,0.0768980822601852,0.0533517424053102,79
44881,"Cooper Kupp","WR",0.0143113392341971,0.17355372236293,0.14135448334416,270
54538,"Jelani Woods","TE",0.0142638269120335,0.183519483138532,0.155689496132217,82
46130,"D.J. Chark","WR",0.0140772724620618,0.136773800101083,0.106991562973266,96
44874,"JuJu Smith-Schuster","WR",0.0133972984197223,0.160028681239761,0.129435380999787,272
52451,"Cole Kmet","TE",0.0133900463517117,0.186283624212275,0.158141371316329,147
44898,"Kareem Hunt","RB",0.0131423489929461,0.120490571773496,0.0852588406530655,105
